issue_type,uid,key,title,candidate,details
exact_title_duplicate,246:saffari2023technical,saffari2023technical,Technical and economic assessment of a hybrid heat pump system as an energy retrofit measure in a residential building,,"Normalized title is shared by 246:saffari2023technical, 255:SAFFARI2023113256"
exact_title_duplicate,255:SAFFARI2023113256,SAFFARI2023113256,Technical and economic assessment of a hybrid heat pump system as an energy retrofit measure in a residential building,,"Normalized title is shared by 246:saffari2023technical, 255:SAFFARI2023113256"
duplicate_trusted_doi,246:saffari2023technical,saffari2023technical,Technical and economic assessment of a hybrid heat pump system as an energy retrofit measure in a residential building,10.1016/j.enbuild.2023.113256,"Trusted DOI 10.1016/j.enbuild.2023.113256 is shared by 246:saffari2023technical, 255:SAFFARI2023113256"
duplicate_trusted_doi,255:SAFFARI2023113256,SAFFARI2023113256,Technical and economic assessment of a hybrid heat pump system as an energy retrofit measure in a residential building,10.1016/j.enbuild.2023.113256,"Trusted DOI 10.1016/j.enbuild.2023.113256 is shared by 246:saffari2023technical, 255:SAFFARI2023113256"
doi_candidate_manual_review,3:jaane2024two,jaane2024two,Two decades of progressive cost reduction: A paradigm shift for distributed solar photovoltaics and energy efficiency,10.1016/j.energy.2024.133570,Manual review required: metadata score 0.890 < 0.940; first author does not match
doi_candidate_manual_review,17:deakin2020flexibility,deakin2020flexibility,Flexibility from multi-vector systems: beyond low-voltage network modelling,10.1049/oap-cired.2021.0299,Manual review required: metadata score 0.932 < 0.940; Crossref type 'journal-article' is incompatible with conference_paper; source similarity 0.378 < 0.700
doi_candidate_manual_review,21:gantenbein2012ecogrid,gantenbein2012ecogrid,EcoGrid EU: An efficient ICT approach for a sustainable power system,10.1109/isgteurope.2012.6465643,Manual review required: metadata score 0.305 < 0.940; title similarity 0.284 < 0.970; first author does not match; source similarity 0.241 < 0.700; candidate margin 0.003 < 0.015
doi_candidate_manual_review,30:gross2020local,gross2020local,Local use of flexibilities on DSO level--outcomes of the InterFlex project,10.1049/oap-cired.2021.0237,Manual review required: metadata score 0.932 < 0.940; Crossref type 'journal-article' is incompatible with conference_paper; source similarity 0.378 < 0.700
doi_candidate_manual_review,32:utrilla2020large,utrilla2020large,Large-scale demonstration of TSO--DSO coordination: the CoordiNet Spanish approach,10.1049/oap-cired.2021.0209,Manual review required: metadata score 0.932 < 0.940; Crossref type 'journal-article' is incompatible with conference_paper; source similarity 0.378 < 0.700
doi_candidate_manual_review,46:farid2026digital,farid2026digital,Digital Twin Assisted Real-Time Energy Management System For Smart Homes,10.1016/j.enbuild.2026.116978,Manual review required: metadata score 0.890 < 0.940; first author does not match
doi_candidate_manual_review,51:kaldeh2025integration,kaldeh2025integration,"Integration of renewable sources in buildings: A review of energy savings, feasibility, and challenges",10.1016/j.egyr.2025.10.046,Manual review required: metadata score 0.890 < 0.940; first author does not match
doi_candidate_manual_review,55:lukavc2025changing,lukavc2025changing,Changing the paradigm of distribution networks planning and operation: A systematic review of the distributed energy resources impact,10.1109/eem.2009.5207113,Manual review required: metadata score 0.230 < 0.940; title similarity 0.275 < 0.970; Crossref type 'proceedings-article' is incompatible with journal_article; first author does not match; publication year differs by 16 years; source similarity 0.340 < 0.700
doi_candidate_manual_review,68:schibuola2025impact,schibuola2025impact,Impact of electrical energy storage on the performance of photovoltaic systems in building retrofits,10.2139/ssrn.5345751,Manual review required: Crossref type 'posted-content' is incompatible with journal_article; candidate is preprint/posted content rather than a journal article
doi_candidate_manual_review,69:jiang2025credible,jiang2025credible,Credible demand response capacity evaluation for building HVAC systems based on grey-box models,10.1016/j.apenergy.2025.126144,Manual review required: candidate margin 0.000 < 0.015
doi_candidate_manual_review,83:morales2022classifying,morales2022classifying,Classifying and modelling demand response in power systems,10.1016/j.energy.2021.122544,Manual review required: metadata score 0.890 < 0.940; first author does not match
