uid,key,entry_type,reference_kind,reference_family,is_paper,is_web_resource,doi_search_eligible,classification_reason,title,authors,year,source,publisher,url,url_host,url_status,url_http_status,url_final,local_doi,discovered_doi,trusted_doi,doi_status,doi_source,doi_confidence,doi_title_similarity,doi_year_difference,doi_author_match,doi_source_similarity,doi_remote_type,doi_type_compatible,publisher_landing_page,doi_resolution_status,missing_required_fields
1:zang2025levelized,zang2025levelized,article,journal_article,scholarly,True,False,True,@article,Levelized cost quantification of energy flexibility in high-density cities and evaluation of demand-side technologies for providing grid services,"Zang, Xingyu and Li, Hangxin and Wang, Shengwei",2025,Renewable and Sustainable Energy Reviews,Elsevier,,,not_checked,,,,10.1016/j.rser.2024.115290,10.1016/j.rser.2024.115290,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S1364032124010165,resolved,
2:lee2015integrated,lee2015integrated,article,journal_article,scholarly,True,False,True,@article,Integrated control of dynamic facades and distributed energy resources for energy cost minimization in commercial buildings,"Lee, Eleanor S and Gehbauer, Christoph and Coffey, Brian E and McNeil, Andrew and Stadler, Michael and Marnay, Chris",2015,Solar Energy,Elsevier,,,not_checked,,,,10.1016/j.solener.2015.11.003,10.1016/j.solener.2015.11.003,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S0038092X15006052,resolved,
3:jaane2024two,jaane2024two,article,journal_article,scholarly,True,False,True,@article,Two decades of progressive cost reduction: A paradigm shift for distributed solar photovoltaics and energy efficiency,"Jaane, Mamahloko Senatla and Bansal, Ramesh C and Naidoo, Raj M and Mbungu, Nsilulu T and Mudau, Unarine Bridget and Yusuf, Teslim and Kgaswane, Keorapetse and Moodley, Prathaban",2024,Energy,Elsevier,,,not_checked,,,,10.1016/j.energy.2024.133570,,candidate_manual_review,Crossref search,0.89,1.0,0,False,1.0,journal-article,True,,,
4:bianchini2016demand,bianchini2016demand,article,journal_article,scholarly,True,False,True,@article,Demand-response in building heating systems: A Model Predictive Control approach,"Bianchini, Gianni and Casini, Marco and Vicino, Antonio and Zarrilli, Donato",2016,Applied Energy,Elsevier,,,not_checked,,,,10.1016/j.apenergy.2016.01.088,10.1016/j.apenergy.2016.01.088,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S0306261916300757,resolved,
5:du2024two,du2024two,article,journal_article,scholarly,True,False,True,@article,Two-stage multi-objective distributionally robust optimization of the electricity-hydrogen coupling system under multiple markets,"Du, Yida and Li, Xiangguang and Liang, Yan and Tan, Zhongfu",2024,Energy,Elsevier,,,not_checked,,,,10.1016/j.energy.2024.131960,10.1016/j.energy.2024.131960,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S036054422401733X,resolved,
6:cheng2026robust,cheng2026robust,article,journal_article,scholarly,True,False,True,@article,Robust multi-time-scale scheduling of microgrids with renewable energy interpretation and bidirectionally controlled electric vehicles using adaptive Harris hawks optimization,"Cheng, Zhuoting and Ji, Rendong and Tao, Hai and Abdalla, Ahmed N and Tang, Xiu and Li, Shifeng",2026,Unconventional Resources,Elsevier,,,not_checked,,,,10.1016/j.uncres.2026.100305,10.1016/j.uncres.2026.100305,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S2666519026000026,resolved,
7:vivas2025novel,vivas2025novel,article,journal_article,scholarly,True,False,True,@article,A novel energy management system based on two-level hierarchical economic model predictive control for use in microgrid control,"Vivas, FJ and Pajares, A and Blasco, X and Herrero, JM and Segura, F and Andujar, JM",2025,Energy Conversion and Management: X,Elsevier,,,not_checked,,,,10.1016/j.ecmx.2025.101027,10.1016/j.ecmx.2025.101027,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S259017452500159X,resolved,
8:zhang2022model,zhang2022model,article,journal_article,scholarly,True,False,True,@article,Model predictive control for demand flexibility: Real-world operation of a commercial building with photovoltaic and battery systems,"Zhang, Kun and Prakash, Anand and Paul, Lazlo and Blum, David and Alstone, Peter and Zoellick, James and Brown, Richard and Pritoni, Marco",2022,Advances in Applied Energy,Elsevier,,,not_checked,,,,10.1016/j.adapen.2022.100099,10.1016/j.adapen.2022.100099,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S2666792422000178,resolved,
9:amadeh2022quantifying,amadeh2022quantifying,article,journal_article,scholarly,True,False,True,@article,Quantifying demand flexibility of building energy systems under uncertainty,"Amadeh, Ali and Lee, Zachary E and Zhang, K Max",2022,Energy,Elsevier,,,not_checked,,,,10.1016/j.energy.2022.123291,10.1016/j.energy.2022.123291,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://linkinghub.elsevier.com/retrieve/pii/S0360544222001943,resolved,
10:lin2023optimal,lin2023optimal,article,journal_article,scholarly,True,False,True,@article,Optimal scheduling of power systems with high proportions of renewable energy accounting for operational flexibility,"Lin, Yi and Lin, Wei and Wu, Wei and Zhu, Zhenshan",2023,Energies,MDPI,,,not_checked,,,,10.3390/en16145537,10.3390/en16145537,found_high_confidence,Crossref search,1.0,1.0,0,True,1.0,journal-article,True,https://www.mdpi.com/1996-1073/16/14/5537,resolved,
